City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
332,Arroio Grande,BR,66.99,-32.2375,-53.0869,Motel Bela Vista
334,Jalu,LY,67.28,29.0331,21.5482,صاحبة الفخامة
336,Zabid,YE,72.12,14.1951,43.3152,دار الضيافة
337,Umm Lajj,SA,70.48,25.0213,37.2685,Moon light Furnished Units
345,Magway,MM,60.01,20.15,94.9167,Htein Htein Thar 2
346,Sao Miguel Do Tapuio,BR,81.64,-5.5036,-41.3233,Hotel Tropical
348,Tame,CO,77.68,6.461,-71.73,Hospedaje Santa Ana
349,Porto Santo,PT,60.8,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
350,Parauna,BR,69.53,-16.9478,-50.4486,Hotel Serras de Paraúna
352,Mega,ET,66.0,4.05,38.3,Amanuel Guest House
353,Koungheul,SN,74.89,13.9833,-14.8,
354,Puerto Madryn,AR,60.1,-42.7692,-65.0385,Hotel Tolosa
357,Les Cayes,HT,75.09,18.2,-73.75,Villa Orphee
359,Damara,CF,78.8,4.9608,18.7035,
360,Bodden Town,KY,82.4,19.2833,-81.25,Will T Place
365,Nagua,DO,78.8,19.3832,-69.8474,Hotel Cambri
366,Spring Hill,US,62.6,28.4769,-82.5255,Room of The world By traveline Plus
368,Japura,ID,73.65,-0.3167,102.35,Rumah mbah Jamah
369,Nouadhibou,MR,62.6,20.930999999999997,-17.0347,El Medina
370,Muscat,OM,68.0,23.6139,58.5922,Mutrah Hotel
373,Pontes E Lacerda,BR,74.7,-15.2261,-59.3353,Hotel Bressan
374,San Jose,US,68.0,37.3394,-121.895,The Westin San Jose
377,Jizan,SA,75.2,17.3333,42.6667,شهدان. ابوالحجر
378,Honavar,IN,70.99,14.2833,74.45,Hotel Sagar Residency
380,Chicama,PE,75.31,-7.8447,-79.1469,Hospedaje Punta Cana PERU
383,Illapel,CL,65.55,-31.6308,-71.1653,Hotel Londres
384,Guider,CM,72.55,9.9342,13.9486,Hotel Falaise
386,Nacala,MZ,77.74,-14.5428,40.6728,Nacala Plaza Business Design Hotel
387,Huarmey,PE,73.53,-10.0681,-78.1522,Hotel Miramar
388,Sinnamary,GF,78.08,5.3833,-52.95,ALETHEIA Appartement Sinnamary
389,Pisco,PE,73.4,-13.7,-76.2167,Hotel San Isidro Oficial
390,Puerto Varas,CL,73.4,-41.3195,-72.9854,Hotel Solace
391,Chimala,TZ,67.46,-8.85,34.0167,Pangani Guest House
392,Ibicui,BR,72.1,-14.8417,-39.9867,Pousada Vista da Serra
394,Rapar,IN,63.72,23.5667,70.6333,Dharamshi Bapa’s Home
395,Tshikapa,CD,71.06,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
396,Tocopilla,CL,70.68,-22.092,-70.1979,Hotel Galvarino
397,Nova Olimpia,BR,75.47,-14.7972,-57.2881,Motel glamour
401,Arlit,NE,69.85,18.7369,7.3853,Case de Passage De la Prefecture
406,Porto De Moz,BR,76.24,-1.7483,-52.2383,Dormitório labelle
414,Cabedelo,BR,80.6,-6.9811,-34.8339,Hotel Pigalle
415,Santa Barbara,US,68.0,34.7333,-120.0343,Upper Ballard Campground
419,Arona,ES,63.0,28.0996,-16.680999999999997,Paradise Court
421,Yenangyaung,MM,61.57,20.4667,94.8833,Hotel Country
422,Santa Cruz,BO,86.0,-17.8,-63.1667,Hotel Cortez
426,Camacupa,AO,63.77,-12.0167,17.4833,
427,Santa Maria,BR,77.0,-29.6842,-53.8069,Hotel Morotin
428,Kudahuvadhoo,MV,81.3,2.6708,72.8944,Niyama Private Islands Maldives
435,Oudtshoorn,ZA,62.6,-33.5907,22.2014,Earthbound Guest House
439,Gamboma,CG,73.85,-1.8764,15.8644,Residence N'Keni
441,Zvishavane,ZW,68.09,-20.3267,30.0665,Hotel Boutique Runde
442,Chabahar,IR,65.03,25.2919,60.643,هتل گدروشیا
444,Wajir,KE,76.15,1.7471,40.0573,Al-bustan Hotel And Restaurant.
445,Yanam,IN,68.05,16.7333,82.2167,The Regency Hotel
446,San Carlos Del Zulia,VE,80.02,9.0,-71.9135,Hotel El Manantial
450,Plettenberg Bay,ZA,63.75,-34.0527,23.3716,Thanda Vista B&B
452,Kaniama,CD,66.69,-7.5667,24.1833,
454,Quilmana,PE,72.01,-12.95,-76.3833,HOSPEDAJE PARAISO
457,Pipri,IN,60.6,19.8,75.5333,Sukhana River nilu and rushi home
461,Porto Novo,BJ,84.2,6.4965,2.6036,Tour Eiffel Hotel Benin
462,Alamor,EC,84.2,-4.0181,-80.0197,Hotel
463,Segou,ML,74.57,13.4317,-6.2157,Comme chez soi
464,Vila Do Maio,CV,68.0,15.1333,-23.2167,Residence 'I Delfini'
465,Sambava,MG,75.56,-14.2667,50.1667,Melrose
467,Menongue,AO,64.63,-14.6585,17.691,Ritz Lauca
468,Guaratinga,BR,78.8,-16.5667,-39.5667,Hotel Caraíva
469,Kimberley,ZA,73.4,-28.7323,24.7623,Welgewandel Guesthouse
470,Paragominas,BR,75.29,-2.9667,-47.4833,.
471,Catamarca,AR,73.99,-28.4696,-65.7852,Amerian Catamarca Park Hotel
472,Oussouye,SN,71.6,12.485,-16.5469,Auberge du Routard
474,Dakar,SN,66.2,14.6937,-17.4441,Novotel Dakar
478,Saint-Pierre,RE,80.6,-21.3393,55.4781,Lindsey Hôtel
481,Bhuj,IN,61.52,23.2667,69.6667,Regenta Resort Bhuj
483,Mabaruma,GY,73.11,8.2,-59.7833,
484,Bosaso,SO,73.56,11.2842,49.1816,Red Sea Hotel
490,Nandaime,NI,89.6,11.757,-86.0529,Hotel Restaurante Plaza Manchon
494,Grand Gaube,MU,75.99,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
495,Beloha,MG,74.43,-25.1667,45.05,
496,Kalengwa,ZM,65.97,-13.4659,25.0027,
497,Angoche,MZ,77.94,-16.2325,39.9086,Guest House HESADA
498,Laredo,US,77.0,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
499,Chinsali,ZM,64.6,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
500,Yenagoa,NG,79.63,4.9247,6.2642,Aridolf Resort Wellness and Spa
502,Kathu,TH,75.2,7.9178,98.3332,Novotel Phuket Resort
506,Nortelandia,BR,75.6,-14.4547,-56.8028,Hotel Karysmã
507,Saint-Leu,RE,77.0,-21.15,55.2833,La Caz Oceane
511,Meulaboh,ID,76.32,4.1363,96.1285,Kost Pria
512,Abapo,BO,73.15,-18.8333,-63.4667,
513,Bondoukou,CI,81.82,8.0333,-2.8,Prestige Hotel
515,Canton,CN,72.0,23.1167,113.25,Guangzhou Hotel
516,Talara,PE,75.67,-4.5772,-81.2719,Hostal Oro Negro
518,Moshupa,BW,69.8,-24.7782,25.4155,
520,Inirida,CO,75.88,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
521,Newala,TZ,67.44,-10.9431,39.2787,Mnyeu Newala
522,Jamame,SO,75.2,0.0722,42.7506,
523,Inhambane,MZ,78.8,-23.865,35.3833,Oceano
524,La Asuncion,VE,76.51,11.0333,-63.8628,Colinas de Matasiete
525,Vicosa,BR,64.51,-20.7539,-42.8819,Vivant Residence
526,Saint-Paul,RE,75.2,-21.0096,55.2707,Boucan Canot
528,Huambo,AO,62.98,-12.7761,15.7392,SiSHotel
529,Manadhoo,MV,81.19,5.7667,73.3833,Vevu Guesthouse
531,Maldonado,UY,72.0,-34.6667,-54.9167,La Cimarrona
532,Bayir,TR,60.8,37.2687,28.2167,Hotel Babadag
533,San Luis,AR,79.38,-33.295,-66.3356,Huarpes Hotel
537,Osorio,BR,65.37,-29.8867,-50.2697,Motel gêmeos
538,Odweyne,SO,63.32,9.4092,45.06399999999999,Eng Hiirey House
543,Pathein,MM,69.69,16.7833,94.7333,Pathein Hotel
544,Nova Soure,BR,77.18,-11.2333,-38.4833,Branca Hotel
545,Acari,PE,73.8,-15.4311,-74.6158,HOSPEDAJE XIMENA
546,Clarence Town,AU,75.0,-32.5833,151.7833,River Downs Cottage
554,Bonthe,SL,78.85,7.5264,-12.505,Bonthe Holiday Village
556,Pozo Colorado,PY,74.52,-23.4923,-58.7972,Hospedaje la Amistad
559,Nieuw Amsterdam,SR,82.4,5.8833,-55.0833,Hotel Stardust
561,Coihueco,CL,71.6,-36.6167,-71.8333,Frutillares Coihueco
562,Matadi,CD,77.07,-5.8167,13.45,Hotel Fortune
563,Vallenar,CL,65.75,-28.5708,-70.7581,Humacao Bed & Breakfast
564,Dawei,MM,69.57,14.0833,98.2,Hotel Dawei
568,Umm Kaddadah,SD,61.45,13.6017,26.6876,
569,Lokoja,NG,80.28,7.8024,6.742999999999999,Hotel Charvid
570,Geraldton,AU,71.6,-28.7667,114.6,Broadwater Mariner Resort
571,Richards Bay,ZA,74.88,-28.783,32.0377,BON Hotel Waterfront Richards Bay
